section,content,reference,extr_ref_calls,extr_ref_prompt_tokens,extr_ref_completion_tokens,extr_ref_total_cost,parsed_references,rule,extr_rules_calls,extr_rules_prompt_tokens,extr_rules_completion_tokens,extr_rules_total_cost
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,und des Parodontiums,The text provided does not contain any references to other paragraphs.,1,66,12,0.0027,,,1,608,5,0.01854
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,und des Parodontiums,The text provided does not contain any references to other paragraphs.,1,66,12,0.0027,,,1,608,5,0.01854
G_Kieferorthopädische_Leistungen,"Allgemeine Bestimmungen
Die Leistungen nach den Nummern 6100, 6120, 6140 und 6150 beinhal -
ten auch die Material- und Laborkosten für Standardmaterialien wie
zum Beispiel unprogrammierte Edelstahlbrackets, unprogrammierte At -
tachments und Edelstahlbänder.
Werden darüber hinausgehende Materialien verwendet, können die
Mehrkosten für diese Materialien gesondert berechnet werden, wenn
dies vor der Verwendung mit dem Zahlungspflichtigen nach persönli -
cher Absprache schriftlich vereinbart worden ist. Diese Vereinbarung
hat Angaben über die voraussichtliche Höhe der einzelnen Material-
und Laborkosten und die Material- und Laborkosten der in Abzug zu
bringenden Standardmaterialien zu enthalten. In der Vereinbarung ist
darauf hinzuweisen, dass eine Erstattung durch Erstattungsstellen mög -
licherweise nicht im vollen Umfang gewährleistet ist.",The text does not contain any references to other paragraphs.,1,298,11,0.0096,,,1,840,5,0.0255
H_Eingliederung_von_Aufbissbehelfen_und_Schienen,"Allgemeine Bestimmungen
Endgültige Kronen, Brücken und Prothesen dürfen nicht als Aufbissbe -
helfe oder Schienen nach Abschnitt H berechnet werden.",References: Abschnitt H,1,103,5,0.00339,,,1,645,5,0.01965
J_Funktionsanalytische_und,funktionstherapeutische Leistungen,The text provided does not contain any references to other paragraphs.,1,70,12,0.00282,,,1,612,5,0.01866
J_Funktionsanalytische_und,funktionstherapeutische Leistungen,The text provided does not contain any references to other paragraphs.,1,70,12,0.00282,,,1,612,5,0.01866
K_Implantologische_Leistungen,"
Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z. B. Reinigen der Wunde, Wundver -
schluss ohne zusätzliche Lappenbildung, gegebenenfalls einschließlich
Fixieren eines plastischen Wundverbandes) ist Bestandteil der Leistungen
nach Abschnitt K und nicht gesondert berechnungsfähig.
2. Die bei den Leistungen nach Abschnitt K verwendeten Implantate,
Implantatteile und nur einmal verwendbare Implantatfräsen sind ge -
sondert berechnungsfähig.
Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z. B. Membranen), zur Fixierung
von Membranen, zum Verschluss von oberflächlichen Blutungen bei hä -
morrhagischen Diathesen oder, wenn dies zum Schutz wichtiger anato -
mischer Strukturen (z. B. Nerven) erforderlich ist, sowie atraumatisches
Nahtmaterial oder nur einmal verwendbare Explantationsfräsen, sind
gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,1,331,11,0.0105899999999999,,"Rule 1: The primary wound care (e.g., cleaning the wound, wound closure without additional flap formation, possibly including fixation of a plastic wound dressing) is part of the services in section K and cannot be billed separately.",1,873,155,0.035489999999999994
K_Implantologische_Leistungen,"
Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z. B. Reinigen der Wunde, Wundver -
schluss ohne zusätzliche Lappenbildung, gegebenenfalls einschließlich
Fixieren eines plastischen Wundverbandes) ist Bestandteil der Leistungen
nach Abschnitt K und nicht gesondert berechnungsfähig.
2. Die bei den Leistungen nach Abschnitt K verwendeten Implantate,
Implantatteile und nur einmal verwendbare Implantatfräsen sind ge -
sondert berechnungsfähig.
Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z. B. Membranen), zur Fixierung
von Membranen, zum Verschluss von oberflächlichen Blutungen bei hä -
morrhagischen Diathesen oder, wenn dies zum Schutz wichtiger anato -
mischer Strukturen (z. B. Nerven) erforderlich ist, sowie atraumatisches
Nahtmaterial oder nur einmal verwendbare Explantationsfräsen, sind
gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,1,331,11,0.0105899999999999,,"Rule 2: The implants, implant parts, and single-use implant drills used in the services according to section K can be billed separately.",1,873,155,0.035489999999999994
K_Implantologische_Leistungen,"
Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z. B. Reinigen der Wunde, Wundver -
schluss ohne zusätzliche Lappenbildung, gegebenenfalls einschließlich
Fixieren eines plastischen Wundverbandes) ist Bestandteil der Leistungen
nach Abschnitt K und nicht gesondert berechnungsfähig.
2. Die bei den Leistungen nach Abschnitt K verwendeten Implantate,
Implantatteile und nur einmal verwendbare Implantatfräsen sind ge -
sondert berechnungsfähig.
Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z. B. Membranen), zur Fixierung
von Membranen, zum Verschluss von oberflächlichen Blutungen bei hä -
morrhagischen Diathesen oder, wenn dies zum Schutz wichtiger anato -
mischer Strukturen (z. B. Nerven) erforderlich ist, sowie atraumatisches
Nahtmaterial oder nur einmal verwendbare Explantationsfräsen, sind
gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,1,331,11,0.0105899999999999,,"Rule 3: Bone replacement materials and materials for promoting blood coagulation or tissue regeneration (e.g., membranes), for fixing membranes, for closing superficial bleeding in hemorrhagic diatheses or, if necessary for the protection of important anatomical structures (e.g., nerves), as well as atraumatic suture material or single-use explantation drills, can be billed separately.",1,873,155,0.035489999999999994
L_Zuschläge_zu_bestimmten,"zahnärztlich-chirurgischen Leistungen
Allgemeine Bestimmungen
1. Bei nichtstationärer Durchführung bestimmter zahnärztlich-chirurgi -
scher Leistungen in der Praxis niedergelassener Zahnärzte oder in Kran -
kenhäusern können zur Abgeltung der Kosten für die Aufbereitung
wiederverwendbarer Operationsmaterialien bzw. -geräte und/oder von
Materialien, die mit der einmaligen Verwendung verbraucht sind, Zu -
schläge berechnet werden.
2. Die Zuschläge nach den Nummern 0500 bis 0530 sind nur mit dem
einfachen Gebührensatz berechnungsfähig.
3. Die Zuschläge nach den Nummern 0500 bis 0530 sind zahnärztlich-
chirurgische Leistungen
-nach den Nummern 3020, 3030, 3040, 3045, 3090, 3100, 3110, 3120,
3130, 3140, 3160, 3190, 3200, 3230, 3240, 3250, 3260, 3270, 3280 in Ab -
schnitt D,
-nach den Nummern 4090, 4100, 4130 und 4133 in Abschnitt E sowie
-nach den Nummern 9010, 9020, 9090, 9100, 9110, 9120, 9130, 9140,
9150, 9160 und 9170 in Abschnitt K
zuzuordnen.
4. Die Zuschläge sind in der Rechnung unmittelbar im Anschluss an die
zugeordnete zahnärztlich-chirurgische Leistung aufzuführen.
5. Maßgeblich für den Ansatz eines Zuschlages nach den Nummern
0500 bis 0530 ist die erbrachte zahnärztlich-chirurgische Leistung mit der
höchsten Punktzahl. Eine Zuordnung des Zuschlags nach den Nummern
0500 bis 0530 zu der Summe der jeweils ambulant erbrachten einzelnen
zahnärztlich-chirurgischen Leistungen ist nicht möglich.


6. Die Zuschläge nach den Nummern 0500 bis 0530 sind nicht berech -
nungsfähig, wenn der Patient an demselben Tag wegen derselben Er -
krankung in stationäre Krankenhausbehandlung aufgenommen wird;
das gilt nicht, wenn die stationäre Behandlung wegen unvorhersehba -
rer Komplikationen während oder nach der nichtstationären Operation
notwendig und entsprechend begründet wird.
7. Die Zuschläge nach den Nummern 0110, 0120 sowie 0500 bis 0530
sind neben den entsprechenden Zuschlägen nach den Nummer 440
bis 445 des Gebührenverzeichnisses für ärztliche Leistungen für dieselbe
Sitzung nicht berechnungsfähig.","References: Nummern 0500 bis 0530, Nummern 3020, 3030, 3040, 3045, 3090, 3100, 3110, 3120, 3130, 3140, 3160, 3190, 3200, 3230, 3240, 3250, 3260, 3270, 3280, Nummern 4090, 4100, 4130 und 4133, Nummern 9010, 9020, 9090, 9100, 9110, 9120, 9130, 9140, 9150, 9160 und 9170, Nummern 0110, 0120, Nummer 440 bis 445.",1,768,177,0.0336599999999999,,"Rule 1: The surcharges according to numbers 0500 to 0530 can only be calculated with the simple fee rate. This implies that the ""Multiplier"" for these service numbers should be 1.",1,1310,260,0.054900000000000004
L_Zuschläge_zu_bestimmten,"zahnärztlich-chirurgischen Leistungen
Allgemeine Bestimmungen
1. Bei nichtstationärer Durchführung bestimmter zahnärztlich-chirurgi -
scher Leistungen in der Praxis niedergelassener Zahnärzte oder in Kran -
kenhäusern können zur Abgeltung der Kosten für die Aufbereitung
wiederverwendbarer Operationsmaterialien bzw. -geräte und/oder von
Materialien, die mit der einmaligen Verwendung verbraucht sind, Zu -
schläge berechnet werden.
2. Die Zuschläge nach den Nummern 0500 bis 0530 sind nur mit dem
einfachen Gebührensatz berechnungsfähig.
3. Die Zuschläge nach den Nummern 0500 bis 0530 sind zahnärztlich-
chirurgische Leistungen
-nach den Nummern 3020, 3030, 3040, 3045, 3090, 3100, 3110, 3120,
3130, 3140, 3160, 3190, 3200, 3230, 3240, 3250, 3260, 3270, 3280 in Ab -
schnitt D,
-nach den Nummern 4090, 4100, 4130 und 4133 in Abschnitt E sowie
-nach den Nummern 9010, 9020, 9090, 9100, 9110, 9120, 9130, 9140,
9150, 9160 und 9170 in Abschnitt K
zuzuordnen.
4. Die Zuschläge sind in der Rechnung unmittelbar im Anschluss an die
zugeordnete zahnärztlich-chirurgische Leistung aufzuführen.
5. Maßgeblich für den Ansatz eines Zuschlages nach den Nummern
0500 bis 0530 ist die erbrachte zahnärztlich-chirurgische Leistung mit der
höchsten Punktzahl. Eine Zuordnung des Zuschlags nach den Nummern
0500 bis 0530 zu der Summe der jeweils ambulant erbrachten einzelnen
zahnärztlich-chirurgischen Leistungen ist nicht möglich.


6. Die Zuschläge nach den Nummern 0500 bis 0530 sind nicht berech -
nungsfähig, wenn der Patient an demselben Tag wegen derselben Er -
krankung in stationäre Krankenhausbehandlung aufgenommen wird;
das gilt nicht, wenn die stationäre Behandlung wegen unvorhersehba -
rer Komplikationen während oder nach der nichtstationären Operation
notwendig und entsprechend begründet wird.
7. Die Zuschläge nach den Nummern 0110, 0120 sowie 0500 bis 0530
sind neben den entsprechenden Zuschlägen nach den Nummer 440
bis 445 des Gebührenverzeichnisses für ärztliche Leistungen für dieselbe
Sitzung nicht berechnungsfähig.","References: Nummern 0500 bis 0530, Nummern 3020, 3030, 3040, 3045, 3090, 3100, 3110, 3120, 3130, 3140, 3160, 3190, 3200, 3230, 3240, 3250, 3260, 3270, 3280, Nummern 4090, 4100, 4130 und 4133, Nummern 9010, 9020, 9090, 9100, 9110, 9120, 9130, 9140, 9150, 9160 und 9170, Nummern 0110, 0120, Nummer 440 bis 445.",1,768,177,0.0336599999999999,,"Rule 2: The surcharges according to numbers 0500 to 0530 are not billable if the patient is admitted to hospital treatment on the same day for the same disease; this does not apply if the hospital treatment is necessary due to unforeseen complications during or after the outpatient operation and is accordingly justified. This implies that if a service with numbers 0500 to 0530 is billed on the same date as a hospital admission for the same disease, it should not be billable unless there is a justification for unforeseen complications.",1,1310,260,0.054900000000000004
L_Zuschläge_zu_bestimmten,"zahnärztlich-chirurgischen Leistungen
Allgemeine Bestimmungen
1. Bei nichtstationärer Durchführung bestimmter zahnärztlich-chirurgi -
scher Leistungen in der Praxis niedergelassener Zahnärzte oder in Kran -
kenhäusern können zur Abgeltung der Kosten für die Aufbereitung
wiederverwendbarer Operationsmaterialien bzw. -geräte und/oder von
Materialien, die mit der einmaligen Verwendung verbraucht sind, Zu -
schläge berechnet werden.
2. Die Zuschläge nach den Nummern 0500 bis 0530 sind nur mit dem
einfachen Gebührensatz berechnungsfähig.
3. Die Zuschläge nach den Nummern 0500 bis 0530 sind zahnärztlich-
chirurgische Leistungen
-nach den Nummern 3020, 3030, 3040, 3045, 3090, 3100, 3110, 3120,
3130, 3140, 3160, 3190, 3200, 3230, 3240, 3250, 3260, 3270, 3280 in Ab -
schnitt D,
-nach den Nummern 4090, 4100, 4130 und 4133 in Abschnitt E sowie
-nach den Nummern 9010, 9020, 9090, 9100, 9110, 9120, 9130, 9140,
9150, 9160 und 9170 in Abschnitt K
zuzuordnen.
4. Die Zuschläge sind in der Rechnung unmittelbar im Anschluss an die
zugeordnete zahnärztlich-chirurgische Leistung aufzuführen.
5. Maßgeblich für den Ansatz eines Zuschlages nach den Nummern
0500 bis 0530 ist die erbrachte zahnärztlich-chirurgische Leistung mit der
höchsten Punktzahl. Eine Zuordnung des Zuschlags nach den Nummern
0500 bis 0530 zu der Summe der jeweils ambulant erbrachten einzelnen
zahnärztlich-chirurgischen Leistungen ist nicht möglich.


6. Die Zuschläge nach den Nummern 0500 bis 0530 sind nicht berech -
nungsfähig, wenn der Patient an demselben Tag wegen derselben Er -
krankung in stationäre Krankenhausbehandlung aufgenommen wird;
das gilt nicht, wenn die stationäre Behandlung wegen unvorhersehba -
rer Komplikationen während oder nach der nichtstationären Operation
notwendig und entsprechend begründet wird.
7. Die Zuschläge nach den Nummern 0110, 0120 sowie 0500 bis 0530
sind neben den entsprechenden Zuschlägen nach den Nummer 440
bis 445 des Gebührenverzeichnisses für ärztliche Leistungen für dieselbe
Sitzung nicht berechnungsfähig.","References: Nummern 0500 bis 0530, Nummern 3020, 3030, 3040, 3045, 3090, 3100, 3110, 3120, 3130, 3140, 3160, 3190, 3200, 3230, 3240, 3250, 3260, 3270, 3280, Nummern 4090, 4100, 4130 und 4133, Nummern 9010, 9020, 9090, 9100, 9110, 9120, 9130, 9140, 9150, 9160 und 9170, Nummern 0110, 0120, Nummer 440 bis 445.",1,768,177,0.0336599999999999,,"Rule 3: The surcharges according to numbers 0110, 0120 as well as 0500 to 0530 are not billable in addition to the corresponding surcharges according to number 440 to 445 of the fee schedule for medical services for the same session. This implies that if a service with numbers 0110, 0120, 0500 to 0530 is billed, no service with numbers 440 to 445 should be billed for the same date of treatment.",1,1310,260,0.054900000000000004
