number,content,section,Punktzahl,1.0-fach,2.3-fach,3.5-fach,reference,parsed_references,rule
120,"Zuschlag für die Anwendung eines
Lasers bei den Leistungen nach
den Nummern 2410, 3070, 3080,
3210, 3240, 4080, 4090, 4100, 4130, 4133 und 9160
Der Zuschlag nach der Nummer 0120 beträgt 100 v.H. des einfa -
chen Gebührensatzes der betref -
fenden Leistung, jedoch nicht
mehr als 68 Euro. Der Zuschlag
nach der Nummer 0120 ist je Be -
handlungstag nur einmal berech -
nungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,,,,,"References: Nummern 2410, 3070, 3080, 3210, 3240, 4080, 4090, 4100, 4130, 4133, 9160, 0120",,"Der Zuschlag nach der Nummer 0120 beträgt 100 v.H. des einfachen Gebührensatzes der betreffenden Leistung, jedoch nicht mehr als 68 Euro."
120,"Zuschlag für die Anwendung eines
Lasers bei den Leistungen nach
den Nummern 2410, 3070, 3080,
3210, 3240, 4080, 4090, 4100, 4130, 4133 und 9160
Der Zuschlag nach der Nummer 0120 beträgt 100 v.H. des einfa -
chen Gebührensatzes der betref -
fenden Leistung, jedoch nicht
mehr als 68 Euro. Der Zuschlag
nach der Nummer 0120 ist je Be -
handlungstag nur einmal berech -
nungsfähig.",A_Allgemeine_zahnärztliche_Leistungen,,,,,"References: Nummern 2410, 3070, 3080, 3210, 3240, 4080, 4090, 4100, 4130, 4133, 9160, 0120",,Der Zuschlag nach der Nummer 0120 ist je Behandlungstag nur einmal berechnungsfähig.
1000,"Erstellung eines Mundhygienesta -
tus und eingehende Unterweisung
zur Vorbeugung gegen Karies und
parodontale Erkrankungen, Dauer
mindestens 25 Minuten",B_Prophylaktische_Leistungen,200.0,11.25,25.87,39.37,The text does not mention any references to other paragraphs.,,Dauer mindestens 25 Minuten
1010,"Kontrolle des Übungserfolges ein -
schließlich weiterer Unterweisung,
Dauer mindestens 15 Minuten",B_Prophylaktische_Leistungen,100.0,5.62,12.94,19.68,The text does not mention any references to other paragraphs.,,
1020,"Lokale Fluoridierung zur Verbesse -
rung der Zahnhartsubstanz, zur Ka -
riesvorbeugung und -behandlung,
mit Lack oder Gel, je Sitzung
Die Leistung nach der Nummer 1000 ist innerhalb eines Jahres ein -
mal, die Leistung nach der Nummer 1010 innerhalb eines Jahres dreimal
berechnungsfähig. Die Leistungen
umfassen die Erhebung von Mund -
hygiene-Indizes, das Anfärben der
Zähne, die praktische Unterweisung
mit individuellen Übungen und die
Motivierung des Patienten. Im Zu -
sammenhang mit den Leistungen
nach den Nummern 1000 und 1010
sind Leistungen nach den Num -
mern 0010, 4000 und 8000 sowie Be -
ratungen und Untersuchungen
nach der Gebührenordnung für
Ärzte nur dann berechnungsfähig,
wenn diese Leistungen anderen
Zwecken dienen und dies in der
Rechnung begründet wird. Die Leis -
tung nach der Nummer 1020 ist in -
nerhalb eines Jahres höchstens
viermal berechnungsfähig.",B_Prophylaktische_Leistungen,50.0,2.81,6.47,9.84,"References: Nummer 1000, Nummer 1010, Nummer 0010, Nummer 4000, Nummer 8000, Nummer 1020",,"Die Leistung nach der Nummer 1000 ist innerhalb eines Jahres ein -
mal, die Leistung nach der Nummer 1010 innerhalb eines Jahres dreimal
berechnungsfähig."
1020,"Lokale Fluoridierung zur Verbesse -
rung der Zahnhartsubstanz, zur Ka -
riesvorbeugung und -behandlung,
mit Lack oder Gel, je Sitzung
Die Leistung nach der Nummer 1000 ist innerhalb eines Jahres ein -
mal, die Leistung nach der Nummer 1010 innerhalb eines Jahres dreimal
berechnungsfähig. Die Leistungen
umfassen die Erhebung von Mund -
hygiene-Indizes, das Anfärben der
Zähne, die praktische Unterweisung
mit individuellen Übungen und die
Motivierung des Patienten. Im Zu -
sammenhang mit den Leistungen
nach den Nummern 1000 und 1010
sind Leistungen nach den Num -
mern 0010, 4000 und 8000 sowie Be -
ratungen und Untersuchungen
nach der Gebührenordnung für
Ärzte nur dann berechnungsfähig,
wenn diese Leistungen anderen
Zwecken dienen und dies in der
Rechnung begründet wird. Die Leis -
tung nach der Nummer 1020 ist in -
nerhalb eines Jahres höchstens
viermal berechnungsfähig.",B_Prophylaktische_Leistungen,50.0,2.81,6.47,9.84,"References: Nummer 1000, Nummer 1010, Nummer 0010, Nummer 4000, Nummer 8000, Nummer 1020",,"Im Zu -
sammenhang mit den Leistungen
nach den Nummern 1000 und 1010
sind Leistungen nach den Num -
mern 0010, 4000 und 8000 sowie Be -
ratungen und Untersuchungen
nach der Gebührenordnung für
Ärzte nur dann berechnungsfähig,
wenn diese Leistungen anderen
Zwecken dienen und dies in der
Rechnung begründet wird."
1020,"Lokale Fluoridierung zur Verbesse -
rung der Zahnhartsubstanz, zur Ka -
riesvorbeugung und -behandlung,
mit Lack oder Gel, je Sitzung
Die Leistung nach der Nummer 1000 ist innerhalb eines Jahres ein -
mal, die Leistung nach der Nummer 1010 innerhalb eines Jahres dreimal
berechnungsfähig. Die Leistungen
umfassen die Erhebung von Mund -
hygiene-Indizes, das Anfärben der
Zähne, die praktische Unterweisung
mit individuellen Übungen und die
Motivierung des Patienten. Im Zu -
sammenhang mit den Leistungen
nach den Nummern 1000 und 1010
sind Leistungen nach den Num -
mern 0010, 4000 und 8000 sowie Be -
ratungen und Untersuchungen
nach der Gebührenordnung für
Ärzte nur dann berechnungsfähig,
wenn diese Leistungen anderen
Zwecken dienen und dies in der
Rechnung begründet wird. Die Leis -
tung nach der Nummer 1020 ist in -
nerhalb eines Jahres höchstens
viermal berechnungsfähig.",B_Prophylaktische_Leistungen,50.0,2.81,6.47,9.84,"References: Nummer 1000, Nummer 1010, Nummer 0010, Nummer 4000, Nummer 8000, Nummer 1020",,"Die Leis -
tung nach der Nummer 1020 ist in -
nerhalb eines Jahres höchstens
viermal berechnungsfähig."
1030,"Lokale Anwendung von Medika -
menten zur Kariesvorbeugung
oder initialen Kariesbehandlung
mit einer individuell gefertigten
Schiene als Medikamententräger,
je Kiefer
1. Die Herstellung einer individuell
angefertigten Schiene als Medika -
mententräger (z.B. Tiefziehschiene)
ist gesondert berechnungsfähig.
2. Mit der Gebühr sind die Kosten
für das verwendete Medikament
abgegolten.
3. Die Anwendung eines konfek -
tionierten Löffels als Medikamen -
tenträger erfüllt nicht den Inhalt
der Leistung nach der Nummer
1030.
4. Bei Anwendung einer individuell
gefertigten Schiene als Medika -
mententräger für Fluoridierungsmit -
tel ist die mehr als viermalige
Berechnung der Leistung nach der
Nummer 1030 innerhalb eines Jah -
res in der Rechnung zu begründen.",B_Prophylaktische_Leistungen,90.0,5.06,11.64,17.72,References: Nummer 1030,,"4. Bei Anwendung einer individuell
gefertigten Schiene als Medika -
mententräger für Fluoridierungsmit -
tel ist die mehr als viermalige
Berechnung der Leistung nach der
Nummer 1030 innerhalb eines Jah -
res in der Rechnung zu begründen."
1040,"Professionelle Zahnreinigung
Die Leistung umfasst das Entfer -
nen der supragingivalen/gingivalen
Beläge auf Zahn- und Wurzelober-
flächen einschließlich Reinigung
der Zahnzwischenräume, das
Entfernen des Biofilms, die Ober -
flächenpolitur und geeignete Flu-
oridierungsmaßnahmen, je Zahn
oder Implantat oder Brücken -
glied. Die Leistung nach der
Nummer 1040 ist neben den Leis -
tungen nach den Nummern 1020,
4050, 4055, 4060, 4070, 4075, 4090
und 4100 nicht berechnungsfähig .",B_Prophylaktische_Leistungen,28.0,1.57,3.62,5.51,"References: Nummer 1040, Nummer 1020, Nummer 4050, Nummer 4055, Nummer 4060, Nummer 4070, Nummer 4075, Nummer 4090, Nummer 4100.",,"Die Leistung nach der Nummer 1040 ist neben den Leistungen nach den Nummern 1020, 4050, 4055, 4060, 4070, 4075, 4090 und 4100 nicht berechnungsfähig."
2000,"Versiegelung von kariesfreien
Zahnfissuren mit aushärtenden
Kunststoffen, auch Glattflächen -
versiegelung, je Zahn",C_Konservierende_Leistungen,90.0,5.06,11.64,17.72,The text does not mention any references to other paragraphs.,,
2010,"Behandlung überempfindlicher
Zahnflächen, je Kiefer",C_Konservierende_Leistungen,50.0,2.81,6.47,9.84,The text provided does not contain any references to other paragraphs.,,
2020,"Temporärer speicheldichter Ver -
schluss einer Kavität",C_Konservierende_Leistungen,98.0,5.51,12.68,19.29,The text provided does not contain any references to other paragraphs.,,
2030,"Besondere Maßnahmen beim Prä -
parieren oder Füllen von Kavitäten
(z.B. Separieren, Beseitigen stören -
den Zahnfleisches, Stillung einer
übermäßigen Papillenblutung), je
Kieferhälfte oder Frontzahnbe -
reich
Die Leistung nach der Nummer 2030 ist je Sitzung für eine Kiefer -
hälfte oder einen Frontzahnbereich
höchstens einmal für besondere
Maßnahmen beim Präparieren
und höchstens einmal für beson -
dere Maßnahmen beim Füllen von
Kavitäten berechnungsfähig.",C_Konservierende_Leistungen,65.0,3.66,8.41,12.8,The text does not contain any references to other paragraphs.,,Die Leistung nach der Nummer 2030 ist je Sitzung für eine Kieferhälfte oder einen Frontzahnbereich höchstens einmal für besondere Maßnahmen beim Präparieren und höchstens einmal für besondere Maßnahmen beim Füllen von Kavitäten berechnungsfähig.
2040,"Anlegen von Spanngummi, je Kie -
ferhälfte oder Frontzahnbereich",C_Konservierende_Leistungen,65.0,3.66,8.41,12.8,The text provided does not contain any references to other paragraphs.,,
2050,"Präparieren einer Kavität und
Restauration mit plastischem Fül -
lungsmaterial einschließlich Unter -
füllung, Anlegen einer Matrize
oder Benutzen anderer Hilfsmittel
zur Formung der Füllung, einflächig",C_Konservierende_Leistungen,213.0,11.98,27.55,41.93,The text does not mention any references to other paragraphs.,,
2060,"Präparieren einer Kavität und Res -
tauration mit Kompositmaterialien,
in Adhäsivtechnik (Konditionieren),
einflächig, gegebenenfalls ein -
schließlich Mehrschichttechnik,
einschließlich Polieren, gegebe -
nenfalls einschließlich Verwen -
dung von Inserts",C_Konservierende_Leistungen,527.0,29.64,68.17,103.74,The text does not mention any references to other paragraphs.,,
2070,"Präparieren einer Kavität und
Restauration mit plastischem Fül -
lungsmaterial einschließlich Unter -
füllung, Anlegen einer Matrize oder
Benutzen anderer Hilfsmittel zur For -
mung der Füllung, zweiflächig",C_Konservierende_Leistungen,242.0,13.61,31.3,47.64,The text does not mention any references to other paragraphs.,,
2080,"Präparieren einer Kavität und Res -
tauration mit Kompositmaterialien,
in Adhäsivtechnik (Konditionieren),
zweiflächig, gegebenenfalls ein -
schließlich Mehrschichttechnik,
einschließlich Polieren, gegebe -
nenfalls einschließlich Verwendung
von Inserts",C_Konservierende_Leistungen,556.0,31.27,71.92,109.45,The text does not mention any references to other paragraphs.,,
2090,"Präparieren einer Kavität und
Restauration mit plastischem Fül -
lungsmaterial einschließlich Unter -
füllung, Anlegen einer Matrize oder
Benutzen anderer Hilfsmittel zur For -
mung der Füllung, dreiflächig",C_Konservierende_Leistungen,297.0,16.7,38.42,58.46,The text does not mention any references to other paragraphs.,,
2100,"Präparieren einer Kavität und Res -
tauration mit Kompositmaterialien,
in Adhäsivtechnik (Konditionieren),
dreiflächig, gegebenenfalls ein -
schließlich Mehrschichttechnik,
einschließlich Polieren, gegebe -
nenfalls einschließlich Verwendung
von Inserts",C_Konservierende_Leistungen,642.0,36.11,83.05,126.38,The text does not mention any references to other paragraphs.,,
2110,"Präparieren einer Kavität und Res -
tauration mit plastischem Füllungs -
material einschließlich Unterfüllung,
Anlegen einer Matrize oder Benut -
zen anderer Hilfsmittel zur Formung
der Füllung, mehr als dreiflächig",C_Konservierende_Leistungen,319.0,17.94,41.26,62.79,The text does not mention any references to other paragraphs.,,
2120,"Präparieren einer Kavität und
Restauration mit Kompositmate -
rialien, in Adhäsivtechnik (Kondi -
tionieren), mehr als dreiflächig,
gegebenenfalls einschließlich
Mehrschichttechnik, einschließ -
lich Polieren, gegebenenfalls
einschließlich Verwendung von
Inserts",C_Konservierende_Leistungen,770.0,43.31,99.6,151.57,The text does not mention any references to other paragraphs.,,
2130,"Kontrolle, Finieren/Polieren einer
Restauration in separater Sitzung,
auch Nachpolieren einer vorhan -
denen Restauration",C_Konservierende_Leistungen,104.0,5.85,13.45,20.47,The text does not mention any references to other paragraphs.,,
2150,"Einlagefüllung, einflächig",C_Konservierende_Leistungen,1141.0,64.17,147.6,224.6,The text provided does not contain any references to other paragraphs.,,
2160,"Einlagefüllung, zweiflächig",C_Konservierende_Leistungen,1356.0,76.26,175.41,266.93,The text provided does not contain any references to other paragraphs.,,
2170,"Einlagefüllung, mehr als zweiflä -
chig",C_Konservierende_Leistungen,1709.0,96.12,221.07,336.41,The text provided does not contain any references to other paragraphs.,,
2180,"Vorbereitung eines zerstörten Zah -
nes mit plastischem Aufbaumate -
rial zur Aufnahme einer Krone",C_Konservierende_Leistungen,150.0,8.44,19.4,29.53,The text provided does not mention any references to other paragraphs.,,
2190,"Vorbereitung eines zerstörten Zah -
nes durch gegossenen Aufbau mit
Stiftverankerung zur Aufnahme
einer Krone",C_Konservierende_Leistungen,450.0,25.31,58.21,88.58,The text does not mention any references to other paragraphs.,,
2195,"Vorbereitung eines zerstörten Zah -
nes durch einen Schraubenaufbau
oder Glasfaserstift o.Ä. zur Auf -
nahme einer Krone
Die Leistungen nach den Num -
mern 2180, 2190 oder 2195 sind
neben den Leistungen nach den
Nummern 2150 bis 2170 nicht be -
rechnungsfähig.
Die Leistung nach der Nummer 2180 ist neben der Leistung nach
der Nummer 2190 nicht berech -
nungsfähig. Die Leistung nach der
Nummer 2195 ist neben der Leis -
tung nach der Nummer 2180 be -
rechnungsfähig. Die Leistungen
nach den Nummern 2180, 2190
und/oder die Leistung nach der
Nummer 2195 ist je Zahn nur jeweils
einmal berechnungsfähig. Die Kos -
ten für die Verankerungselemente
sind gesondert berechnungsfähig.",C_Konservierende_Leistungen,300.0,16.87,38.81,59.05,"References: Nummern 2180, 2190, 2195, 2150 bis 2170",,"Die Leistungen nach den Nummern 2180, 2190 oder 2195 sind neben den Leistungen nach den Nummern 2150 bis 2170 nicht berechnungsfähig."
2195,"Vorbereitung eines zerstörten Zah -
nes durch einen Schraubenaufbau
oder Glasfaserstift o.Ä. zur Auf -
nahme einer Krone
Die Leistungen nach den Num -
mern 2180, 2190 oder 2195 sind
neben den Leistungen nach den
Nummern 2150 bis 2170 nicht be -
rechnungsfähig.
Die Leistung nach der Nummer 2180 ist neben der Leistung nach
der Nummer 2190 nicht berech -
nungsfähig. Die Leistung nach der
Nummer 2195 ist neben der Leis -
tung nach der Nummer 2180 be -
rechnungsfähig. Die Leistungen
nach den Nummern 2180, 2190
und/oder die Leistung nach der
Nummer 2195 ist je Zahn nur jeweils
einmal berechnungsfähig. Die Kos -
ten für die Verankerungselemente
sind gesondert berechnungsfähig.",C_Konservierende_Leistungen,300.0,16.87,38.81,59.05,"References: Nummern 2180, 2190, 2195, 2150 bis 2170",,Die Leistung nach der Nummer 2180 ist neben der Leistung nach der Nummer 2190 nicht berechnungsfähig.
2195,"Vorbereitung eines zerstörten Zah -
nes durch einen Schraubenaufbau
oder Glasfaserstift o.Ä. zur Auf -
nahme einer Krone
Die Leistungen nach den Num -
mern 2180, 2190 oder 2195 sind
neben den Leistungen nach den
Nummern 2150 bis 2170 nicht be -
rechnungsfähig.
Die Leistung nach der Nummer 2180 ist neben der Leistung nach
der Nummer 2190 nicht berech -
nungsfähig. Die Leistung nach der
Nummer 2195 ist neben der Leis -
tung nach der Nummer 2180 be -
rechnungsfähig. Die Leistungen
nach den Nummern 2180, 2190
und/oder die Leistung nach der
Nummer 2195 ist je Zahn nur jeweils
einmal berechnungsfähig. Die Kos -
ten für die Verankerungselemente
sind gesondert berechnungsfähig.",C_Konservierende_Leistungen,300.0,16.87,38.81,59.05,"References: Nummern 2180, 2190, 2195, 2150 bis 2170",,Die Leistung nach der Nummer 2195 ist neben der Leistung nach der Nummer 2180 berechnungsfähig.
2195,"Vorbereitung eines zerstörten Zah -
nes durch einen Schraubenaufbau
oder Glasfaserstift o.Ä. zur Auf -
nahme einer Krone
Die Leistungen nach den Num -
mern 2180, 2190 oder 2195 sind
neben den Leistungen nach den
Nummern 2150 bis 2170 nicht be -
rechnungsfähig.
Die Leistung nach der Nummer 2180 ist neben der Leistung nach
der Nummer 2190 nicht berech -
nungsfähig. Die Leistung nach der
Nummer 2195 ist neben der Leis -
tung nach der Nummer 2180 be -
rechnungsfähig. Die Leistungen
nach den Nummern 2180, 2190
und/oder die Leistung nach der
Nummer 2195 ist je Zahn nur jeweils
einmal berechnungsfähig. Die Kos -
ten für die Verankerungselemente
sind gesondert berechnungsfähig.",C_Konservierende_Leistungen,300.0,16.87,38.81,59.05,"References: Nummern 2180, 2190, 2195, 2150 bis 2170",,"Die Leistungen nach den Nummern 2180, 2190 und/oder die Leistung nach der Nummer 2195 ist je Zahn nur jeweils einmal berechnungsfähig."
2197,"Adhäsive Befestigung (plastischer
Aufbau, Stift, Inlay, Krone, Teil -
krone, Veneer etc.)",C_Konservierende_Leistungen,130.0,7.31,16.82,25.59,The text provided does not mention any references to other paragraphs.,,
2200,"Versorgung eines Zahnes oder Im -
plantats durch eine Vollkrone (Tan -
gentialpräparation)",C_Konservierende_Leistungen,1322.0,74.35,171.01,260.23,The text provided does not contain any references to other paragraphs.,,
2210,"Versorgung eines Zahnes durch
eine Vollkrone (Hohlkehl- oder Stu -
fenpräparation)",C_Konservierende_Leistungen,1678.0,94.37,217.06,330.31,The text provided does not contain any references to other paragraphs.,,
2220,"Versorgung eines Zahnes durch
eine Teilkrone mit Retentionsrillen
oder -kästen oder mit Pinledges
einschließlich Rekonstruktion der
gesamten Kaufläche, auch Versor -
gung eines Zahnes durch ein Ve -
neer
Neben den Leistungen nach den
Nummern 2200 bis 2220 sind die
Leistungen nach den Nummern 2050 bis 2130 nicht berechnungs -
fähig. Die Leistung nach der Num -
mer 2210 ist im Zusammenhang
mit Implantaten nicht berech -
nungsfähig. Durch die Leistungen
nach den Nummern 2150 bis 2170
und 2200 bis 2220 sind folgende
zahnärztliche Leistungen abgegol -
ten: Präparieren des Zahnes oder
Implantats, Relationsbestimmung,
Abformungen, Einproben, proviso -
risches Eingliedern, festes Einfügen
der Einlagefüllung oder der Krone
oder der Teilkrone oder des Ve -
neers, Nachkontrolle und Korrektu -
ren. Die Leistung nach der
Nummer 2200 umfasst auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Kro -
nen nach den Nummern 2200 bis 2220 gehören Kronen (Voll- und
Teilkronen) jeder zahntechnischen
Ausführung.",C_Konservierende_Leistungen,2067.0,116.25,267.38,406.88,"References: Nummern 2200 bis 2220, Nummern 2050 bis 2130, Nummer 2210, Nummern 2150 bis 2170, Nummer 2200.",,Neben den Leistungen nach den Nummern 2200 bis 2220 sind die Leistungen nach den Nummern 2050 bis 2130 nicht berechnungsfähig.
2220,"Versorgung eines Zahnes durch
eine Teilkrone mit Retentionsrillen
oder -kästen oder mit Pinledges
einschließlich Rekonstruktion der
gesamten Kaufläche, auch Versor -
gung eines Zahnes durch ein Ve -
neer
Neben den Leistungen nach den
Nummern 2200 bis 2220 sind die
Leistungen nach den Nummern 2050 bis 2130 nicht berechnungs -
fähig. Die Leistung nach der Num -
mer 2210 ist im Zusammenhang
mit Implantaten nicht berech -
nungsfähig. Durch die Leistungen
nach den Nummern 2150 bis 2170
und 2200 bis 2220 sind folgende
zahnärztliche Leistungen abgegol -
ten: Präparieren des Zahnes oder
Implantats, Relationsbestimmung,
Abformungen, Einproben, proviso -
risches Eingliedern, festes Einfügen
der Einlagefüllung oder der Krone
oder der Teilkrone oder des Ve -
neers, Nachkontrolle und Korrektu -
ren. Die Leistung nach der
Nummer 2200 umfasst auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Kro -
nen nach den Nummern 2200 bis 2220 gehören Kronen (Voll- und
Teilkronen) jeder zahntechnischen
Ausführung.",C_Konservierende_Leistungen,2067.0,116.25,267.38,406.88,"References: Nummern 2200 bis 2220, Nummern 2050 bis 2130, Nummer 2210, Nummern 2150 bis 2170, Nummer 2200.",,Die Leistung nach der Nummer 2210 ist im Zusammenhang mit Implantaten nicht berechnungsfähig.
2220,"Versorgung eines Zahnes durch
eine Teilkrone mit Retentionsrillen
oder -kästen oder mit Pinledges
einschließlich Rekonstruktion der
gesamten Kaufläche, auch Versor -
gung eines Zahnes durch ein Ve -
neer
Neben den Leistungen nach den
Nummern 2200 bis 2220 sind die
Leistungen nach den Nummern 2050 bis 2130 nicht berechnungs -
fähig. Die Leistung nach der Num -
mer 2210 ist im Zusammenhang
mit Implantaten nicht berech -
nungsfähig. Durch die Leistungen
nach den Nummern 2150 bis 2170
und 2200 bis 2220 sind folgende
zahnärztliche Leistungen abgegol -
ten: Präparieren des Zahnes oder
Implantats, Relationsbestimmung,
Abformungen, Einproben, proviso -
risches Eingliedern, festes Einfügen
der Einlagefüllung oder der Krone
oder der Teilkrone oder des Ve -
neers, Nachkontrolle und Korrektu -
ren. Die Leistung nach der
Nummer 2200 umfasst auch die
Verschraubung und Abdeckung
mit Füllungsmaterial. Zu den Kro -
nen nach den Nummern 2200 bis 2220 gehören Kronen (Voll- und
Teilkronen) jeder zahntechnischen
Ausführung.",C_Konservierende_Leistungen,2067.0,116.25,267.38,406.88,"References: Nummern 2200 bis 2220, Nummern 2050 bis 2130, Nummer 2210, Nummern 2150 bis 2170, Nummer 2200.",,"Durch die Leistungen nach den Nummern 2150 bis 2170 und 2200 bis 2220 sind folgende zahnärztliche Leistungen abgegolten: Präparieren des Zahnes oder Implantats, Relationsbestimmung, Abformungen, Einproben, provisorisches Eingliedern, festes Einfügen der Einlagefüllung oder der Krone oder der Teilkrone oder des Veneers, Nachkontrolle und Korrekturen."
