,section,subsection,content,reference,extr_ref_calls,extr_ref_prompt_tokens,extr_ref_completion_tokens,extr_ref_total_cost,section_number,paragraph_number,parsed_references,rule,extr_rules_calls,extr_rules_prompt_tokens,extr_rules_completion_tokens,extr_rules_total_cost,llm_response,query,llm_inputs,llm_calls,prompt_tokens,completion_tokens,total_cost,parsed_code,correction_count
10,§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Leistungen, die über das Maß einer zahnmedizinisch notwendigen Versorgung hinausgehen und auf Verlangen des Zahlungspflichtigen erbracht wurden, müssen im Heil- und Kostenplan vor Erbringung der Leistung schriftlich vereinbart werden. Dies muss in der Rechnung nachvollziehbar sein.",1,1030,331,0.0,nan,n,nan,,,,,"
",0.0
11,§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Die Rechnung muss die einzelnen Leistungen und Vergütungen detailliert auflisten. Für jede Leistung muss das Datum der Behandlung, die Gebührennummer, der Steigerungsfaktor, der Punktwert, die Gebühr und eine Beschreibung enthalten sein.",1,1030,331,0.0,nan,n,nan,,,,,"
is_invoice_invalid(Invoice) :-
    Invoice = invoice(Services, _, _, _),
    member(service(Service, Date, Multiplier, PointScore, Charge, Description, _, _), Services),
    (   Service == ''; Date == date(_, _, _); Multiplier == ''; PointScore == ''; Charge == ''; Description == ''
    ),
    print('Service details missing in invoice'),
    true.
",0.0
12,§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Die Rechnung muss eine Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt, falls dies der Fall ist, und darauf hinweisen, dass eine Erstattung möglicherweise nicht gewährleistet ist.",1,1030,331,0.0,nan,n,nan,,,,,"
",0.0
13,§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]","Selbstständige zahnärztliche Leistungen, die nicht im Gebührenverzeichnis aufgenommen sind, müssen entsprechend einer nach Art, Kosten- und Zeitaufwand gleichwertigen Leistung des Gebührenverzeichnisses berechnet werden. Ist keine gleichwertige Leistung im Gebührenverzeichnis vorhanden, kann die Berechnung entsprechend einer gleichwertigen Leistung der Gebührenordnung für Ärzte erfolgen. Diese Berechnungsweise muss in der Rechnung gerechtfertigt und nachvollziehbar sein.",1,1030,331,0.0,nan,n,nan,,,,,"
",0.0
14,§ 2 Abweichende Vereinbarung ,(3),"Leistungen nach § 1 Absatz 2 Satz 2 und ihre Vergütung müssen in einem Heil- und Kostenplan schriftlich vereinbart werden. Der Heil- und Kostenplan muss vor Erbringung der Leistung erstellt werden; er muss die einzelnen Leistungen und Vergütungen sowie die Feststellung enthalten, dass es sich um Leistungen auf Verlangen handelt und eine Erstattung möglicherweise nicht gewährleistet ist. § 6 Absatz 1 bleibt unberührt.","References: §1 Absatz 2 Satz 2, §6 Absatz 1",1,177,19,0.0064499999999999,2.0,3.0,"[{'section': '1', 'paragraph': '2', 'sentence': None}, {'section': '6', 'paragraph': '1', 'sentence': '1'}]",,1,1030,331,0.0,nan,n,nan,,,,,nan,
15,§ 2 Abweichende Vereinbarung ,(4),"Bei vollstationären, teilstationären sowie vor- und nachstationären privatzahnärztlichen Leistungen ist eine Vereinbarung nach Absatz 1 Satz 1 nur für vom Wahlzahnarzt persönlich erbrachte Leistungen zulässig.",The text does not mention any references to other paragraphs.,1,121,11,0.0042899999999999,2.0,4.0,,,1,668,5,0.0,nan,n,nan,,,,,nan,
16,§ 3 Vergütungen ,,"Als Vergütungen stehen dem Zahnarzt Gebühren, Entschädigungen und Ersatz von Auslagen zu.",The text does not mention any references to other paragraphs.,1,87,11,0.00327,3.0,,,,1,634,5,0.0,nan,n,nan,,,,,nan,
17,§ 4 Gebühren ,(1),Gebühren sind Vergütungen für die im Gebührenverzeichnis (Anlage 1) genannten zahnärztlichen Leistungen.,The text does not mention any references to other paragraphs.,1,94,11,0.00348,4.0,1.0,,,1,641,5,0.0,nan,n,nan,,,,,nan,
18,§ 4 Gebühren ,(2),"Der Zahnarzt kann Gebühren nur für selbstständige zahnärztliche Leistungen berechnen, die er selbst erbracht hat oder die unter seiner Aufsicht nach fachlicher Weisung erbracht wurden (eigene Leistungen). Für eine Leistung, die Bestandteil oder eine besondere Ausführung einer anderen Leistung nach dem Gebührenverzeichnis ist, kann der Zahnarzt eine Gebühr nicht berechnen, wenn er für die andere Leistung eine Gebühr berechnet. Dies gilt auch für die zur Erbringung der im Gebührenverzeichnis aufgeführten operativen Leistungen methodisch notwendigen operativen Einzelschritte. Eine Leistung ist methodisch notwendiger Bestandteil einer anderen Leistung, wenn sie inhaltlich von der Leistungsbeschreibung der anderen Leistung (Zielleistung) umfasst und auch in deren Bewertung berücksichtigt worden ist.",The text does not mention any references to other paragraphs.,1,272,11,0.00882,4.0,2.0,,,1,819,233,0.0,nan,n,nan,,,,,nan,
19,§ 4 Gebühren ,(3),"Mit den Gebühren sind die Praxiskosten einschließlich der Kosten für Füllungsmaterial, für den Sprechstundenbedarf, für die Anwendung von Instrumenten und Apparaten sowie für Lagerhaltung abgegolten, soweit nicht im Gebührenverzeichnis etwas anderes bestimmt ist. Hat der Zahnarzt zahnärztliche Leistungen unter Inanspruchnahme Dritter, die nach dieser Verordnung selbst nicht liquidationsberechtigt sind, erbracht, so sind die hierdurch entstandenen Kosten ebenfalls mit der Gebühr abgegolten.",The text does not mention any specific paragraphs for reference.,1,196,11,0.00654,4.0,3.0,,,1,743,5,0.0,nan,n,nan,,,,,nan,
20,§ 4 Gebühren ,(4),"Kosten, die nach Absatz 3 mit den Gebühren abgegolten sind, dürfen nicht gesondert berechnet werden. Eine Abtretung des Vergütungsanspruchs in Höhe solcher Kosten ist gegenüber dem Zahlungspflichtigen unwirksam.",The text does not mention any references to other paragraphs.,1,123,11,0.00435,4.0,4.0,,,1,670,5,0.0,nan,n,nan,,,,,nan,
21,§ 4 Gebühren ,(5),"Sollen Leistungen durch Dritte erbracht werden, die diese dem Zahlungspflichtigen unmittelbar berechnen, so hat der Zahnarzt ihn darüber zu unterrichten.",The text does not mention any references to other paragraphs.,1,101,11,0.00369,4.0,5.0,,,1,648,5,0.0,nan,n,nan,,,,,nan,
